epoch,train_loss,Recall@1,Recall@3,Recall@5,MRR,n_eval
1,0.03793149350837393,0.41533333333333333,0.5866666666666667,0.6553333333333333,0.5294476262519753,1500
2,0.02430465240192088,0.4126666666666667,0.5926666666666667,0.6693333333333333,0.5308663131666741,1500
3,0.02099237208694947,0.44266666666666665,0.6266666666666667,0.6906666666666667,0.5605157104522147,1500
4,0.016407281915288823,0.46,0.656,0.7166666666666667,0.5794497835300232,1500
5,0.015097652308227042,0.478,0.6486666666666666,0.716,0.5894837809551932,1500
6,0.014667077854411221,0.4746666666666667,0.6766666666666666,0.7413333333333333,0.5958852154037219,1500
7,0.011645201231392097,0.49666666666666665,0.6653333333333333,0.734,0.6067966762934515,1500
8,0.011628848211097087,0.5006666666666667,0.682,0.752,0.61489610271138,1500
9,0.01087533484995835,0.5086666666666667,0.7,0.772,0.6249579101936124,1500
10,0.010123055142848976,0.514,0.7033333333333334,0.7726666666666666,0.629599530509749,1500
